id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
legends-room,Legends Room,LGD,701,0.951191,0.00008478,72392.2,1902382.0,2000000.0,30000000.0,,1.74,-0.74,24.52,1519178351
cryptonite,Cryptonite,XCN,702,0.0048246,0.00000043,2369.19,1901882.0,394205092.0,394205092.0,,2.93,-3.57,31.12,1519178343
kubera-coin,Kubera Coin,KBR,703,0.0161665,0.00000144,190781.0,1849824.0,114423294.0,1162102077.0,,-2.84,-9.9,10.35,1519178358
homeblockcoin,HomeBlockCoin,HBC,704,0.368219,0.00003282,330159.0,1841095.0,5000000.0,9529146.0,28000000.0,3.86,56.3,5.05,1519178358
worldcoin,WorldCoin,WDC,705,0.0153615,0.00000137,2171.69,1811590.0,117930561.0,117930561.0,,1.61,0.64,-6.94,1519178340
zennies,Zennies,ZENI,706,0.00179352,0.00000016,6928.04,1794978.0,1000812836.0,1000812836.0,,1.39,-1.73,14.81,1519178351
fantomcoin,Fantomcoin,FCN,707,0.25806,0.00002300,1417.33,1793203.0,6948782.0,6948782.0,,0.32,14.52,80.16,1519178343
bitstar,Bitstar,BITS,708,0.0773058,0.00000689,1559.46,1784198.0,23079737.0,23079737.0,,1.56,28.68,77.28,1519178342
centurion,Centurion,CNT,709,0.024135,0.00000215,2292.15,1783042.0,73877869.0,78877869.0,250000000.0,1.39,-22.94,20.88,1519178349
abjcoin,Abjcoin,ABJ,710,0.214121,0.00001908,2036.04,1769750.0,8265187.0,9265207.0,,1.39,-23.66,-22.36,1519178357
fujicoin,FujiCoin,FJC,711,0.00134885,0.00000012,9062.41,1768265.0,1310942755.0,1310942755.0,10000000000.0,1.95,-4.48,5.93,1519178344
orbitcoin,Orbitcoin,ORB,712,0.557858,0.00004972,1007.32,1756122.0,3147973.0,3147973.0,,1.56,-2.31,29.24,1519178341
zetacoin,Zetacoin,ZET,713,0.01047,0.00000093,2962.47,1754724.0,167595455.0,167595455.0,,1.33,-0.98,22.18,1519178341
bitradio,Bitradio,BRO,714,0.279229,0.00002489,2389.16,1713343.0,6135978.0,11135981.0,,0.16,-11.89,21.41,1519178352
universe,Universe,UNI,715,0.102704,0.00000915,3463.79,1672571.0,16285358.0,27485358.0,,2.6,-29.55,0.04,1519178350
bytecent,Bytecent,BYC,716,0.819172,0.00007301,38070.2,1643439.0,2006219.0,2006219.0,,-0.98,-0.6,0.31,1519178345
rupaya,Rupaya,RUPX,717,0.264409,0.00002357,120110.0,1635795.0,6186607.0,6186607.0,8400000.0,-3.36,-9.44,246.73,1519178354
megacoin,Megacoin,MEC,718,0.043758,0.00000390,1444.72,1611661.0,36831225.0,36831225.0,42000000.0,2.35,-3.99,25.88,1519178341
authorship,Authorship,ATS,719,0.0200715,0.00000179,28622.3,1605720.0,80000000.0,100000000.0,,0.84,3.61,27.1,1519178355
aricoin,Aricoin,ARI,720,0.0068442,0.00000061,4564.82,1590814.0,232432480.0,232432480.0,,1.56,1.43,1.04,1519178341
netcoin,NetCoin,NET,721,0.0020196,0.00000018,1628.22,1589681.0,787126712.0,787126712.0,,1.56,-6.93,-5.58,1519178341
blakestar,ERA,ERA,722,0.00551154,0.00000049,2421.07,1586641.0,287876187.0,333539639.0,2400000000.0,6.78,1.69,34.5,1519178352
monster-byte,Monster Byte,MBI,723,0.094014,0.00000838,1893.89,1581573.0,16822736.0,40000000.0,,2.05,26.35,22.38,1519178356
firstcoin,FirstCoin,FRST,724,0.838812,0.00007476,184030.0,1568525.0,1869936.0,110000000.0,,3.67,-9.73,-53.74,1519178349
suretly,Suretly,SUR,725,7.05943,0.00062918,106219.0,1563444.0,221469.0,237614.0,,2.52,-5.13,-6.44,1519178354
digitalcoin,Digitalcoin,DGC,726,0.0553507,0.00000493,2578.15,1559920.0,28182473.0,28182473.0,48166000.0,3.03,12.53,33.32,1519178341
ethbet,EthBet,EBET,727,0.180817,0.00001612,4742.0,1537397.0,8502500.0,10000000.0,,2.49,-8.73,-9.61,1519178355
cartaxi-token,CarTaxi Token,CTX,728,0.02509,0.00000224,4976.46,1520324.0,60594811.0,80506222.0,,1.92,-2.45,-15.11,1519178357
lanacoin,LanaCoin,LANA,729,0.00170372,0.00000015,4355.87,1488424.0,873631923.0,873631923.0,,1.61,3.88,7.17,1519178346
happycoin,Happycoin,HPC,730,0.108475,0.00000967,49790.4,1476161.0,13608306.0,13608306.0,100000000.0,4.51,-3.17,72.56,1519178350
i0coin,I0Coin,I0C,731,0.0696762,0.00000621,974.975,1462408.0,20988636.0,20988636.0,,1.56,-5.51,13.81,1519178341
jetcoin,Jetcoin,JET,732,0.211372,0.00001884,41462.3,1442344.0,6823721.0,80000000.0,,5.74,-3.18,-29.16,1519178352
biblepay,BiblePay,BBP,733,0.00339791,0.00000030,3148.44,1438213.0,423263995.0,423263995.0,,1.38,-8.54,7.68,1519178355
kolion,Kolion,KLN,734,2.38014,0.00021213,127119.0,1428084.0,600000.0,1000000.0,,3.13,-3.87,16.26,1519178355
piggycoin,Piggycoin,PIGGY,735,0.00291627,0.00000026,5925.74,1427066.0,489346176.0,489346176.0,,1.61,-4.25,24.16,1519178342
tittiecoin,TittieCoin,TTC,736,0.0011233,0.00000010,2287.51,1415152.0,1259816434.0,1259816434.0,,1.57,-9.3,-0.46,1519178345
bitbar,BitBar,BTB,737,38.9499,0.00347147,3159.85,1413144.0,36281.0,36281.0,,3.24,4.18,11.36,1519178340
iticoin,iTicoin,ITI,738,44.1545,0.00393534,1431.44,1412944.0,32000.0,9999992.0,,6.37,5.04,17.36,1519178351
